Номер изображения 	Описание особенности
3	Расположить карандаш можно только на большой диагонали
4	Большое количество больших предметов и большой многоугольник
5	Предмет еле-еле влезает в треугольник
6	Два малых предмета почти влезают в треугольник
11	Предмет полностью накрывает многоугольник
15	Предмет можно расположить в многоугольнике под любым углом
17	Предмет лишь немногим больше многоугольника
19	Специально подобранная фигура под параметры предмета
21	Несмотря на большую площадь, прямоугольник не вмещает предмет
36	Предметы можно разместить в многоугольнике с малой вариабельностью, при этом в фигуре остается большая свободная площадь
